日期,上等沉船项链,沉船项链,上等沉船耳饰,沉船耳饰,上等沉船手镯,沉船手镯,上等沉船戒指,沉船戒指,当日合计收益/W
,5,0,0,0,0,8,0,0,24.45
,5,0,0,0,0,0,0,0,17.25
,0,0,5,5,0,0,0,0,20
,5,4,5,0,0,0,0,5,41.45
,5,8,0,0,0,10,0,5,40.65
,0,0,5,5,0,4,0,0,23.6
,0,4,4,0,0,4,0,0,20.8
,0,5,5,0,0,9,0,5,33.6
,0,5,4,0,0,0,0,5,22.5
,0,4,0,15,0,0,0,0,20.2
,0,0,0,4,5,0,0,0,18.25
,4,5,4,0,0,5,0,0,36.8
,0,0,5,5,4,4,0,5,39
,0,5,10,5,5,0,4,10,74.55
,0,0,4,0,0,9,4,4,34.1
,0,0,13,5,0,0,5,4,60.7
,0,0,10,4,5,0,0,0,48.25
,0,0,0,4,5,4,5,0,35.35
,0,0,5,9,0,4,0,0,27.6
,0,5,5,0,0,0,5,0,35
,0,4,5,9,0,0,0,0,29.2
,5,4,4,5,0,0,4,0,50.25
,0,5,5,5,0,4,4,5,44.9
,0,0,5,0,0,5,0,0,19.5
,0,0,0,0,0,4,5,0,17.1
,4,5,5,0,0,4,0,0,38.9
,0,0,4,0,0,0,0,0,12
,0,0,0,14,4,5,0,0,29.9
,0,0,0,0,0,5,5,5,22
,0,0,0,10,4,5,0,0,25.9
,0,0,8,0,0,8,0,4,34.4
,0,0,0,10,4,10,0,0,30.4
,0,5,5,0,0,0,0,4,24.7
,5,0,0,0,0,0,0,5,21.25
,0,10,0,0,0,0,0,5,17
,0,0,0,0,10,4,0,4,35.3
,4,0,10,0,0,0,4,5,58.6
,0,4,14,0,0,4,4,0,61.6
,0,0,0,4,0,0,0,5,8
,5,0,0,0,0,0,0,0,17.25
,0,0,14,5,0,5,4,5,66.3
,0,0,15,0,0,0,0,0,45
,0,0,0,0,0,15,0,0,13.5
,0,0,5,5,0,0,0,5,24
,5,0,5,0,0,0,0,5,36.25
,0,0,5,0,0,0,0,0,15
,0,0,0,0,0,0,0,4,3.2
,0,13,8,0,0,0,4,0,51.7
,0,5,5,4,0,0,4,5,40.3
,0,0,5,5,4,5,0,10,43.9
,0,0,4,10,0,15,0,0,35.5
,0,0,0,0,4,0,13,0,46.5
,0,9,5,4,0,5,0,0,35.2
,0,0,0,4,9,0,4,0,40.45
,4,0,5,0,4,0,0,0,40.2
,5,4,0,0,0,4,5,4,42.75
,0,0,9,5,0,4,0,0,35.6
,5,0,9,0,0,14,0,0,56.85
,0,5,0,5,0,5,0,0,16
,5,5,0,0,4,0,0,5,39.15
,5,0,0,0,0,0,0,5,21.25
,0,0,5,5,0,0,0,0,20
,0,4,0,0,0,0,0,0,5.2
,0,4,0,0,0,4,0,4,12
,0,9,0,0,0,0,0,0,11.7
,0,0,9,0,0,4,4,5,45.4
,8,0,0,0,0,0,4,0,38.4
,0,4,5,0,8,0,0,0,43
,0,0,0,0,0,9,0,5,12.1
,0,5,0,5,0,0,0,0,11.5
,0,0,4,0,9,0,5,0,51.15
,0,0,10,0,0,0,0,4,33.2
,0,0,14,0,0,0,4,0,52.8
,4,0,5,0,0,0,0,4,32
,0,5,5,0,0,0,0,10,29.5
,5,0,5,0,4,5,0,0,48.15
,0,0,5,0,4,0,0,5,30.4
,0,0,5,5,0,13,0,0,31.7
,0,0,0,0,0,0,5,5,17.5
,5,0,5,0,0,0,4,0,43.05
,4,4,0,0,0,0,0,0,19
,0,4,0,0,0,0,0,0,5.2
,0,0,0,0,0,4,0,0,3.6
,5,0,0,0,0,0,0,5,21.25
,5,0,0,9,0,0,0,0,26.25
,0,0,10,0,0,5,5,0,48
,0,4,0,0,0,0,0,0,5.2
,5,14,0,0,0,5,10,14,78.15
,0,0,5,0,0,0,0,0,15
,4,0,0,4,5,5,4,0,47.35
,5,0,0,0,0,0,0,0,17.25
,0,4,13,0,0,4,5,0,61.3
,4,0,0,0,0,0,5,4,30.5
,0,0,0,0,0,0,0,0,0
,8,5,4,0,5,10,8,0,90.95
,0,0,0,0,0,4,0,0,3.6
,0,5,0,0,0,0,0,0,6.5
,0,0,0,4,0,9,0,0,12.1
,5,0,4,5,0,9,5,5,59.85
,0,5,10,0,4,4,0,5,55.5
,0,0,4,5,4,0,14,4,69.4
,5,0,4,0,5,4,14,0,84.9
,0,9,19,0,4,10,0,5,93.1
,0,0,0,0,0,4,0,0,3.6
,0,5,4,15,0,0,9,0,57.8
,0,0,0,0,0,5,0,0,4.5
,0,5,5,9,0,0,8,0,52.1
,0,0,0,0,0,0,5,0,13.5
,4,0,13,4,0,18,8,0,94.6
,0,8,5,4,0,0,0,5,33.4
,0,0,4,0,0,0,0,0,12
2024/2/21,0,0,0,0,0,5,0,5,8.5
2024/2/22,0,0,0,0,5,0,0,0,14.25
2024/2/23,9,5,14,9,0,14,0,0,101.15
2024/2/24,0,0,5,0,0,0,0,0,15
2024/2/25,5,4,12,5,8,4,0,0,89.85
2024/2/26,0,5,0,5,0,0,0,0,11.5
2024/2/27,13,0,9,10,0,5,10,0,113.35
2024/2/28,0,5,0,0,0,0,0,0,6.5
2024/2/29,0,0,5,0,4,0,0,5,30.4
2024/2/29,3,0,0,0,0,0,0,0,10.35
2024/03/01,0,0,0,0,4,0,0,0,11.4
2024/03/02,0,5,9,0,0,10,9,10,74.8
2024/03/03,0,0,0,0,5,5,0,5,22.75
2024/03/04,5,5,4,9,0,5,0,0,49.25
2024/03/06,4,10,4,14,0,5,4,5,72.1
2024/03/08,0,5,0,4,0,4,5,15,39.6
2024/03/10,14,0,5,0,0,5,4,9,85.8
2024/03/12,0,0,9,5,0,5,4,0,47.3
2024/03/14,0,0,0,9,9,13,4,5,61.15
2024/03/14,0,0,0,9,9,13,4,5,61.15
2024/03/14,0,0,0,9,9,13,4,5,61.15
2024/03/16,0,10,5,14,0,0,0,5,46
2024/03/18,10,5,5,4,4,10,5,0,93.9
2024/03/20,0,5,8,15,4,5,0,5,65.4
2024/03/22,0,9,13,4,0,5,0,10,67.2
2024/03/24,4,9,5,0,0,10,4,8,66.7
2024/03/26,0,10,9,5,4,4,0,0,60
2024/03/28,0,9,14,4,5,15,5,0,98.95
2024/03/30,0,9,0,5,9,5,13,5,85.95
2024/04/01,0,5,4,0,5,10,0,4,44.95
2024/04/03,0,4,4,4,4,4,4,0,47
2024/04/05,5,5,0,5,4,10,0,10,57.15
2024/04/07,0,0,14,14,5,15,5,0,97.25
2024/04/09,0,5,10,4,5,4,5,0,71.85
2024/04/11,0,5,4,5,5,4,4,10,60.15
2024/04/13,4,0,5,5,9,0,9,0,83.75
2024/04/15,0,4,8,5,9,14,0,0,72.45
2024/04/17,0,5,5,9,4,4,4,14,67.5
2024/04/19,5,4,13,0,0,14,0,5,78.05
2024/04/21,5,4,5,5,0,9,5,5,68.05
2024/04/23,5,8,9,5,5,0,0,0,73.9
2024/04/25,0,9,5,0,5,10,0,14,61.15
