整理 by barusa,
目标名称,目标说明
注1 极神和零式站位宏这里采用简写方式方便查询（所以极神和零式本只能手打命令查询）：例  /e 发宏 极哈迪斯   /e 发宏 E8S  /e 发宏 E12S门神,
注2 攻略大部分搬运阿布evo的攻略https://ff14.org/duty/ 如需调整请自行修改 若修改后发现发不出内容 那就是修改的符号出错或文本太长 请自行检查, 
锐牙长须豹,"
【锐牙长须豹】《天然要害沙斯塔夏溶洞 LV.15》号
摸珊瑚到出现隐藏开关，摸隐藏开关
蓄能晶须：黄圈，躲掉就好了。"
海虎牙 邓恩,"
【海虎牙 邓恩】《天然要害沙斯塔夏溶洞 LV.15》号
默水球 圆形AOE注意躲避
其他的一律不管，输出BOSS就完事了。"
麦迪逊船长,"
【麦迪逊船长】《天然要害沙斯塔夏溶洞 LV.15》号
船长将在血量降到50%时逃跑。"
虚无魂魔,"
【虚无魂魔】《地下灵殿塔姆·塔拉墓园 LV.16 》
先击杀小怪，躲开AOE，击败BOSS后触摸水晶。
击杀虚无魂魔之后，取下祭坛上的宝珠，就可以继续前进了。"
主宰者 加尔梵斯,"
【主宰者 加尔梵斯】《地下灵殿塔姆·塔拉墓园 LV.16 》
优先击杀连线小怪 T拉住其他小怪，注意躲开BOSS的AOE
视队伍情况 若输出足够可以不管其他小怪直接攻击BOSS。"
愤怒的科托斯,"
【愤怒的科托斯】《封锁坑道铜铃铜山 LV.17 》号
路上的小怪有一部分一定距离后会脱战 请视队伍情况决定逐步推进 或者一次到底。
注意拾取路上的火药，这一阶段共需要12星司（此副本需要捡取路上所有的火药）。
注意躲开敌人的AOE攻击 尤其是烈火弹怪的自爆。
BOSS房内队员可以分散站在筛石魔石精刷新点上清怪。"
怒水腐液,"
【怒水腐液】《封锁坑道铜铃铜山 LV.17 》号
开始的两只彷徨之魂可以直接拉脱 不用攻击。
下到地下2层后击杀两边的怪物捡取火药爆破。
BOSS房内T拉好BOSS仇恨 其余队员利用机关召唤爆破榴弹怪 请勿击杀。
之后出现的魔石精会攻击榴弹怪 不致死 但会抢夺仇恨
所以请T拉住榴弹怪使其炸到BOSS 或者dps击杀魔石精。
BOSS被炸分裂三次后血量极低且不再分裂 可以正常击杀。"
强腕的居格斯,"
【强腕的居格斯】《封锁坑道铜铃铜山 LV.17 》号
右边的岩壁破碎后 视队伍情况决定不管小怪直接攻击BOSS 或者先击杀出现的小怪。"
炽热火丛,"
【炽热火丛】《魔兽领域日影地修炼所 LV.20》号
一定血量后 BOSS会持续召唤大量小怪 小怪碰到中央的篝火后会造成全屏伤害。
一般情况下可无视直接强打BOSS 若有顾虑可打掉【毒火】 这种小怪的全屏伤害相对较高。"
